instance_id,tier,seed,route_proxy_mode,status,cost,cpu_seconds,hgs_elapsed_seconds,hgs_iterations,violation_count,violations,error_type,error,reused_mechanism_ev_cost,reused_mechanism_ev_cpu_seconds,reused_mv_hgs_sp_cost,reused_mv_hgs_sp_cpu_seconds
cn-cy-100c-01-V2-LOCATIONS,100,2,cv_only,OK,5216.405501467507,49.58656995801721,47.28450316609815,6740,0,[],,,5159.890355653001,153.07520508393645,5159.890355653001,208.09313483396545
cn-cy-100c-01-V2-LOCATIONS,100,3,cv_only,OK,5216.40978652702,53.903055333998054,51.54594054201152,7631,0,[],,,5160.6096667643305,151.47910170804244,5160.6096667643305,231.80540245806333
cn-cy-100c-01-V2-LOCATIONS,100,1,cv_only,OK,5216.405501467507,56.22165754099842,53.832830292056315,8013,0,[],,,5170.10593372655,97.07833533303346,5158.93907799358,251.4490949169267
cn-cy-100c-01-V2-LOCATIONS,100,2,naive_ev,OK,5165.108320704227,71.92118629207835,69.26460937492084,8203,0,[],,,5159.890355653001,153.07520508393645,5159.890355653001,208.09313483396545
cn-cy-100c-01-V2-LOCATIONS,100,5,cv_only,OK,5254.664111420113,39.704574750037864,38.11166320799384,6311,0,[],,,5164.12767404665,60.41549041692633,5164.12767404665,115.02563887496945
cn-cy-100c-01-V2-LOCATIONS,100,4,cv_only,OK,5216.40978652702,50.55686762498226,48.53099587501492,8412,0,[],,,5162.989536883764,93.61531666701194,5159.213315059443,254.8358532920247
cn-cy-100c-01-V2-LOCATIONS,100,1,naive_ev,OK,5166.558111258914,101.6582104160916,99.09745808399748,12110,0,[],,,5170.10593372655,97.07833533303346,5158.93907799358,251.4490949169267
cn-cy-100c-01-V2-LOCATIONS,100,3,naive_ev,OK,5158.272031908577,102.48862000007648,100.01712800003588,13689,0,[],,,5160.6096667643305,151.47910170804244,5160.6096667643305,231.80540245806333
cn-cy-100c-02-V2-LOCATIONS,100,1,cv_only,OK,4813.21328471388,40.60537858400494,39.43856016697828,7026,0,[],,,4952.2000589368745,51.63518874999136,4813.21328471388,138.05610229203012
cn-cy-100c-02-V2-LOCATIONS,100,2,cv_only,OK,4819.514455515152,56.5966513750609,55.04653383290861,10465,0,[],,,4833.336512529548,61.92437729204539,4833.336512529548,83.98659429198597
