accepted_addition_count,addition_count,addition_ids,after_route_signature_sha256,before_route_signature_sha256,demand_threshold_kg,event_ids,failure_reason,instance_id,legal,newly_used_vehicle_count,newly_used_vehicle_ids,policy,route_plan_changed,search_called,stage,stage_evaluation_budget,status,stream_seed,trigger_cause,trigger_second,wall_seconds
1,1,C009,ff13ead16f5aa485c944fbfbae7689c6c7572bc19ab347c62c2b8614a3c44104,be223bf9c88e69d4b2a71b92b69e71cd763451ae55a00b17cc827493e566ca7f,488.92,ADD_001_C009,,cn-prd-50c-01-V2-LOCATIONS,True,0,,per_order,True,True,1,8,PASS_FULL_BATCH,1,new_information,24743.05884935087,0.048277540947310627
1,1,C015,8c4c73b869505861ac8eaa09dfcbd3430a1830e2fd32b09968c188baa9eb9ba8,ff13ead16f5aa485c944fbfbae7689c6c7572bc19ab347c62c2b8614a3c44104,488.92,ADD_004_C015,,cn-prd-50c-01-V2-LOCATIONS,True,0,,per_order,True,True,2,8,PASS_FULL_BATCH,1,new_information,32041.50778024544,0.026221917010843754
1,1,C031,7716c40f99ae62ee628bf4b19baf6b12c310fccb4c33b34ee8841c3b800f0787,8c4c73b869505861ac8eaa09dfcbd3430a1830e2fd32b09968c188baa9eb9ba8,488.92,ADD_006_C031,,cn-prd-50c-01-V2-LOCATIONS,True,0,,per_order,True,True,3,8,PASS_FULL_BATCH,1,new_information,32463.70184515415,0.021530208992771804
1,1,C034,273a539172efa902422be521772eb6b8e5d76a81812a93c5ce186bc86daae4f7,7716c40f99ae62ee628bf4b19baf6b12c310fccb4c33b34ee8841c3b800f0787,488.92,ADD_007_C034,,cn-prd-50c-01-V2-LOCATIONS,True,0,,per_order,True,True,4,8,PASS_FULL_BATCH,1,new_information,33246.24520414718,0.024921583011746407
1,1,C046,f64fc679fe3c14a63cbc2a8824b9a437d20bf1f20ae8e9dcc9732ce05cf16556,273a539172efa902422be521772eb6b8e5d76a81812a93c5ce186bc86daae4f7,488.92,ADD_010_C046,,cn-prd-50c-01-V2-LOCATIONS,True,1,CV_D_shenzhen_2,per_order,True,True,5,8,PASS_FULL_BATCH,1,new_information,34020.82846822313,0.020936125074513257
1,1,C037,c3922a4b0bf381f0022b3e16aa5bc2b2d72c06197adb10a09f449daf99b7d662,f64fc679fe3c14a63cbc2a8824b9a437d20bf1f20ae8e9dcc9732ce05cf16556,488.92,ADD_008_C037,,cn-prd-50c-01-V2-LOCATIONS,True,1,CV_D_shenzhen_3,per_order,True,True,6,8,PASS_FULL_BATCH,1,new_information,36269.465721924236,0.02061804197728634
1,1,C018,16bac6f46ac5be313c33f04552e9c74ac0f4d8dc2400563300343ffa316ae036,171ef64945f3ea888a8e0852320f43d0b0bea460f8daa4b5012b36e45d8c9d68,488.92,ADD_005_C018,,cn-prd-50c-01-V2-LOCATIONS,True,0,,per_order,True,True,7,8,PASS_FULL_BATCH,1,new_information,43036.14057051672,0.02733104198705405
1,1,C014,814462bd340c436d830b113f5c9a206261e4b470b40737744e62970402d7b290,16bac6f46ac5be313c33f04552e9c74ac0f4d8dc2400563300343ffa316ae036,488.92,ADD_003_C014,,cn-prd-50c-01-V2-LOCATIONS,True,0,,per_order,True,True,8,8,PASS_FULL_BATCH,1,new_information,43500.09209705253,0.021713041001930833
1,1,C042,6c18f6619ed68df63a408ea705322e582de0e8511e13b6b1fd7fce8f9bb51255,4000ed856254f6c390109968437c8ef1e8e360d6064ebd392caaecd7c744a621,488.92,ADD_009_C042,,cn-prd-50c-01-V2-LOCATIONS,True,0,,per_order,True,True,9,8,PASS_FULL_BATCH,1,new_information,47210.324415723066,0.01600462500937283
1,1,C012,c42465afc77acd08ed7233a812d2319a8fc56e4f08875f326da1d47917c40097,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,488.92,ADD_002_C012,,cn-prd-50c-01-V2-LOCATIONS,True,1,CV_D_guangzhou_3,per_order,True,True,10,8,PASS_FULL_BATCH,1,new_information,55552.16544865309,0.006915166974067688
