scope,algorithm,seed,run_id,verdict,flags,native_best_updates,route_count_unique
run,ACO,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,19,2
run,ACO,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,23,2
run,ACO,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,24,2
run,GA,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,3,2
run,GA,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,4,2
run,GA,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,6,2
run,GA-VNS,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA-VNS__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,3,2
run,GA-VNS,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA-VNS__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,3,2
run,GA-VNS,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA-VNS__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,6,2
run,GWO,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GWO__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,4,2
run,GWO,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GWO__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,12,2
run,GWO,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GWO__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,11,2
run,IWD,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__IWD__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,18,2
run,IWD,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__IWD__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,25,2
run,IWD,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__IWD__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,28,2
run,LNS,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__LNS__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,67,2
run,LNS,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__LNS__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,44,3
run,LNS,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__LNS__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,67,2
run,PSO,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__PSO__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,2,2
run,PSO,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__PSO__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,2,2
run,PSO,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__PSO__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,2,2
run,VNS,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__VNS__seed1,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,44,2
run,VNS,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__VNS__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,16,2
run,VNS,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__VNS__seed3,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,19,2
run,t3_main_alns,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,70,1
run,t3_main_alns,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,95,1
